Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE31057	"Gene expression profiling of HDLM-2 Hodgkin lymphoma cell line after in vitro and in vivo treatment with perifosine in combination with sorafenib"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31057/suppl"	23360848		"Loris De Cecco"	"Jan 29, 2015"
GSE31058	"Gene expression profiling of HD-MyZ Hodgkin lymphoma cell line after in vitro and in vivo treatment with perifosine in combination with sorafenib"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31058/suppl"	23360848		"Loris De Cecco"	"Jan 29, 2015"
GSE31059	"Gene expression profiling of L-540 Hodgkin lymphoma cell line after in vitro and in vivo treatment with perifosine in combination with sorafenib"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31059/suppl"	23360848		"Loris De Cecco"	"Jan 29, 2015"
GSE31060	"Gene expression analysis of Hodgkin lymphoma cell lines treated with the AKT inhibitor perifosine and the multikinase inhibitor sorafenib"	"Expression profiling by array"	"Homo sapiens"	60				24561519;23360848		"Loris De Cecco"	"Jan 29, 2015"
GSE62373	"Age-associated Changes in Basal NF-κB Function in Human CD4+ T Lymphocytes via Dysregulation of PI3 Kinase (dataset 3)"	"Expression profiling by array"	"Homo sapiens"	45		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62373/suppl"	25553802		"Kevin G Becker"	"Jan 08, 2015"
GSE62376	"Age-associated Changes in Basal NF-κB Function in Human CD4+ T Lymphocytes via Dysregulation of PI3 Kinase"	"Expression profiling by array"	"Homo sapiens"	141				25553802		"Kevin G Becker"	"Jan 08, 2015"
GSE58316	"Suppression of NCALD protects against spinal muscular atrophy by restoring impaired endocytosis"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58316/suppl"			"Michael H. Walter"	"Jan 01, 2015"
GSE56546	"Extracellular Superoxide Dismutase Regulates the Expression of GTPase Guanine Nucleotide Exchange Factors (GEFs), GTPase-activating proteins (GAPs), and Rho Guanine nucleotide disassociation inhibitors (GDI)"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56546/suppl"			"Mikko Laukkanen"	"Dec 31, 2014"
GSE35967	"Transcriptome analysis of LXR regulated genes in early differentiating and mature human macrophages"	"Expression profiling by array"	"Homo sapiens"	72						"Anke K. Wienecke-Baldacchino"	"Dec 19, 2014"
GSE63808	"chronic temporal lobe epilepsy: biopsy hippocampus"	"Expression profiling by array"	"Homo sapiens"	129		"IDAT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63808/suppl"	25615886		"Albert Becker"	"Dec 04, 2014"
GSE54479	"Molecular diversity of breast cancers at the time of endocrine resistance [mRNA]"	"Expression profiling by array"	"Homo sapiens"	60		"TXT;XLSX"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54479/suppl"			"Alexey A Larionov"	"Dec 01, 2014"
GSE54497	"Molecular diversity of breast cancers at the time of endocrine resistance"	"Expression profiling by array;Non-coding RNA profiling by array"	"Homo sapiens"	116						"Alexey A Larionov"	"Dec 01, 2014"
GSE44969	"Genome wide gene expression analysis of chronic granulomatous disease patients"	"Expression profiling by array"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44969/suppl"	24787605		"Tiina Kelkka Ilona"	"Nov 01, 2014"
GSE44719	"IFNa and IL4 DCs stimulated with microbial components for 6hr"	"Expression profiling by array"	"Homo sapiens"	77		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44719/suppl"	25335753		"Nicole Baldwin"	"Oct 22, 2014"
GSE44722	"Transcriptional specialization of human dendritic cell subsets in response to microbial vaccines"	"Expression profiling by array"	"Homo sapiens"	413				25335753		"Nicole Baldwin"	"Oct 22, 2014"
GSE37558	"Calcifying vascular smooth muscle cells and osteoblasts: independent cell types exhibiting extracellular matrix and biomineralization-related mimicries"	"Expression profiling by array"	"Homo sapiens"	32		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37558/suppl"	25380738		"Jeroen van de Peppel"	"Oct 10, 2014"
GSE61601	"Gene expression data from hCdc73 knock-down HEK293 cells under confluent and sparse condition."	"Expression profiling by array"	"Homo sapiens"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61601/suppl"	25388829		"Jay-Hyun Jo"	"Sep 23, 2014"
GSE61376	"Chronic clinical hepatic schistosomiasis japonica"	"Expression profiling by array"	"Homo sapiens"	17		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61376/suppl"			"Geoffrey Gobert"	"Sep 13, 2014"
GSE58942	"The effect of freeze-thaw cycles on gene expression levels in lymphoblastoid cell lines"	"Expression profiling by array"	"Homo sapiens"	187		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58942/suppl"	25192014		"Minal Caliskan"	"Sep 05, 2014"
GSE60970	"Modulation of cell metabolic pathways and oxidative stress signaling contribute to acquired melphalan resistance in multiple myeloma cells"	"Expression profiling by array"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60970/suppl"	25769101		"Animesh Sharma"	"Sep 03, 2014"
GSE40687	"The effect of TRPM2-AS depletion in human prostate carcinoma PC3 cell line"	"Expression profiling by array"	"Homo sapiens"	8		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40687/suppl"	24931166;26484139		"Giovanni Lavorgna"	"Sep 01, 2014"
GSE60767	"Reduced gene expression levels after chronic exposure to high concentrations of air pollutants"	"Expression profiling by array"	"Homo sapiens"	466		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60767/suppl"	26298100		"Pavel Rossner"	"Aug 27, 2014"
GSE60709	"Transcription profiling by array of epidermal shave samples taken from lesional and non-lesional skin from German atopic dermatitis patients and from healthy skin from German controls"	"Expression profiling by array"	"Homo sapiens"	33		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60709/suppl"	24739813		"Hansjoerg Baurecht"	"Aug 26, 2014"
GSE25504	"Whole blood mRNA expression profiling of host molecular networks in neonatal sepsis"	"Expression profiling by array"	"Homo sapiens"	170		"CEL;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25504/suppl"	25120092;26484146		"Peter Ghazal"	"Aug 12, 2014"
GSE60190	"Genetic Neuropathology of Obsessive Psychiatric Syndromes"	"Expression profiling by array"	"Homo sapiens"	133		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60190/suppl"	25180571		"Andrew Jaffe"	"Aug 08, 2014"
GSE58178	"Endometriosis: Normal endometrial stromal cells and endometriotic stromal cells"	"Expression profiling by array"	"Homo sapiens"	12				24992181		"Diana Monsivais"	"Aug 01, 2014"
GSE48871	"Gene expression profiles of two lung squamous cell carcinoma cell lines treated with SOX2 siRNA"	"Expression profiling by array"	"Homo sapiens"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48871/suppl"	24477565		"Shih Sheng Jiang"	"Jul 30, 2014"
GSE57218	"Gene expression profiles from joint-matched macroscopically intact and OA affected cartilage of patients undergoing joint replacement surgery due to end-stage OA"	"Expression profiling by array"	"Homo sapiens"	73		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57218/suppl"	25054223;25261579		"Yolande F. M. Ramos"	"Jul 28, 2014"
GSE52999	"Hematogenous metastasis of ovarian cancer: Re-thinking mode of spread"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52999/suppl"			"Sangbae Kim"	"Jul 14, 2014"
GSE54137	"Genome-wide analysis of androgen receptor (AR) SUMOylation effects on gene expression (HEK293)."	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54137/suppl"	24981513		"Päivi Sutinen"	"Jul 03, 2014"
GSE54202	"SUMOylation modulates the transcriptional activity of androgen receptor in a target gene and pathway selective manner."	"Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	38				24981513		"Päivi Sutinen"	"Jul 03, 2014"
GSE58137	"Transcriptional landscape of aging in humans"	"Expression profiling by array"	"Homo sapiens"	359		"CSV"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58137/suppl"			"Divya Mehta"	"Jun 15, 2014"
GSE54562	"Expression data from human brain anterior cingulate cortex - including control samples and samples with major depression disorders (20 samples MD2_ACC)"	"Expression profiling by array"	"Homo sapiens"	20		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54562/suppl"	24608543		"Etienne Sibille"	"May 16, 2014"
GSE54563	"Expression data from human brain anterior cingulate cortex - including control samples and samples with major depression disorders (50 samples MD3_ACC)"	"Expression profiling by array"	"Homo sapiens"	50		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54563/suppl"	24608543		"Etienne Sibille"	"May 16, 2014"
GSE54564	"Expression data from human brain amygdala - including control samples and samples with major depression disorders (42 samples MD3_AMY)"	"Expression profiling by array"	"Homo sapiens"	42		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54564/suppl"	24608543		"Etienne Sibille"	"May 16, 2014"
GSE56373	"Gene expression analysis of FOXN1+ thymic endoderm cells derived from the in vitro differentiation of human embryonic stem cells"	"Expression profiling by array"	"Homo sapiens"	3		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56373/suppl"			"Ed Stanley"	"May 01, 2014"
GSE54001	"Role of TCR:peptide/MHC Class I Affinity in Directing Different Maturation Phenotypes of Dominant and Subdominant Epitope-Specific CD8+ T Cells in Mamu-A*01+ Rhesus Monkeys"	"Expression profiling by array"	"Homo sapiens;Macaca mulatta"	90		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54001/suppl"	24743648		"Hsun-Hsien Chang"	"Apr 24, 2014"
GSE36434	"Hes6 expression is controlled by c-Myc and the AR to promote E2F1 activity and poor outcome in castrate-resistant prostate cancer (LNCaP)"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36434/suppl"	24737870		"Roslin Russell"	"Apr 17, 2014"
GSE36526	"Hes6 drives a network with therapeutic potential in castrate-resistant prostate cancer"	"Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	63		"BED;WIG"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36526/suppl"	24737870		"Roslin Russell"	"Apr 17, 2014"
GSE51058	"Risk of T1D progression in islet autoantibody positive children can be further stratified using expression patterns of multiple genes implicated in peripheral blood lymphocyte activation and function"	"Expression profiling by array"	"Homo sapiens"	36		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51058/suppl"	24595351		"Jin-Xiong She"	"Apr 10, 2014"
GSE54839	"A molecular profile of chronic cocaine abuse includes differential expression of genes regulating transcription, chromatin and dopamine cell phenotype"	"Expression profiling by array"	"Homo sapiens"	60	GDS5047	"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54839/suppl"	24642598		"Michael J Bannon"	"Apr 01, 2014"
GSE40489	"MicroRNA-520c-3p targets eIF4GII and acts as a tumor suppressor in diffuse large B cell lymphoma"	"Expression profiling by array"	"Homo sapiens"	58		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40489/suppl"	24497838		"Kevin G Becker"	"Mar 19, 2014"
GSE49119	"Histone demethylase RBP2 is critical for breast cancer progression and metastasis"	"Expression profiling by array"	"Homo sapiens"	9	GDS5355	"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49119/suppl"	24582965		"Qin Yan"	"Feb 27, 2014"
GSE36177	"Genome-wide gene expression analysis of the whole blood leukocyte transcriptional response to endotoxin treatment"	"Expression profiling by array"	"Homo sapiens"	30		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36177/suppl"	24236088		"Brendon Paul Scicluna"	"Feb 24, 2014"
GSE30210	"Genome-wide espression kinetics of children progressing to clinical Type 1 diabetes (T1D)."	"Expression profiling by array"	"Homo sapiens"	247		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30210/suppl"	24550192;29119244		"Henna Kallionpää"	"Feb 20, 2014"
GSE30211	"Gene expression changes during Type 1 diabetes pathogenesis"	"Expression profiling by array"	"Homo sapiens"	724		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30211/suppl"	24550192;29119244		"Henna Kallionpää"	"Feb 20, 2014"
GSE46903	"Transcriptome-based network analysis reveals a spectrum model of human macrophage activation [Expression]"	"Expression profiling by array;Third-party reanalysis"	"Homo sapiens"	384		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46903/suppl"	24530056		"Joachim Schultze"	"Feb 13, 2014"
GSE47189	"Transcriptome-based network analysis reveals a spectrum model of human macrophage activation"	"Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	412				24530056		"Joachim Schultze"	"Feb 13, 2014"
GSE48075	"Identification of subsets of urothelial carcinoma"	"Expression profiling by array"	"Homo sapiens"	142		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48075/suppl"	24525232		"Woonyoung Choi"	"Feb 10, 2014"
GSE48277	"Identification of distinct basal and luminal subsets of human bladder cancers with different sensitivities to frontline chemotherapy"	"Expression profiling by array"	"Homo sapiens"	349				24525232		"Woonyoung Choi"	"Feb 10, 2014"
GSE54514	"Whole blood transcriptome of survivors and nonsurvivors of sepsis"	"Expression profiling by array"	"Homo sapiens"	163	GDS4971	"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54514/suppl"	23807251		"Grant Parnell"	"Feb 04, 2014"
GSE39943	"Aberrant choline metabolism in epithelial ovarian cancer: relevance of choline kinase activity and expression"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39943/suppl"	24281000		"Loris De Cecco"	"Jan 23, 2014"
GSE31258	"Overcoming chemoresistance in B lymphoma cells: elucidating the role of NF-kB in caspase-independent apoptosis by transcriptomic assessment."	"Expression profiling by array"	"Homo sapiens"	18		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31258/suppl"			"Ida Johansson"	"Jan 19, 2014"
GSE51405	"Interferon Signature in the Blood in Inflammatory Common Variable Immune Deficiency [Training Set]"	"Expression profiling by array"	"Homo sapiens"	83		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51405/suppl"	24069364		"Indira Munagala"	"Jan 09, 2014"
GSE51406	"Interferon Signature in the Blood in Inflammatory Common Variable Immune Deficiency"	"Expression profiling by array"	"Homo sapiens"	136				24069364		"Indira Munagala"	"Jan 09, 2014"
GSE36372	"Wnt Pathway Contributes to the Protection of Acute Lymphoblastic Leukemia Cells by Bone Marrow Stromal Cells and May Be a Therapeutic Target "	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36372/suppl"			"Xiaoping Sun"	"Jan 01, 2014"
GSE43885	"Gene profile from RND1-knock down in MDF10A cells"	"Expression profiling by array"	"Homo sapiens"	9		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43885/suppl"	25531777		"Bic MSKCC"	"Jan 01, 2014"
GSE28511	"Endothelial and Alveolar Rhabdomyosarcoma mRNA expression"	"Expression profiling by array"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28511/suppl"			"Aaron Sarver"	"Dec 31, 2013"
GSE46328	"Genome-wide analysis of each stage of EPCs differentiation"	"Expression profiling by array"	"Homo sapiens"	5		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46328/suppl"	26229139		"Minhyung Kim"	"Dec 31, 2013"
GSE47645	"Nuclear phosphatidylinositol-5-phosphate regulates ING2 stability at discrete chromatin targets in response to DNA damage [expression]"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47645/suppl"	23823870		"Dennis Jacob Bua"	"Dec 31, 2013"
GSE47689	"Nuclear phosphatidylinositol-5-phosphate regulates ING2 stability at discrete chromatin targets in response to DNA damage"	"Expression profiling by array;Genome binding/occupancy profiling by genome tiling array"	"Homo sapiens"	16		"GFF;PAIR"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47689/suppl"	23823870		"Dennis Jacob Bua"	"Dec 31, 2013"
GSE52900	"Transcriptome analysis of primary monocytes from HIV+ patients with differential responses to therapy"	"Expression profiling by array"	"Homo sapiens"	14		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52900/suppl"	24370116		"Nitin K Saksena"	"Dec 30, 2013"
GSE52104	"Gene expression profiles of stromal cells in ovarian cancer co-culture models"	"Expression profiling by array"	"Homo sapiens"	18		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52104/suppl"			"Kate Lawrenson"	"Dec 01, 2013"
GSE48613	"Genome-wide analysis of keratinocyte gene expression during their course of differentiation in presence or absence of JNK1,2-deficient or wildtype immortalized mouse embryonic fibroblasts (MEFs)"	"Expression profiling by array"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48613/suppl"	24335928		"Peter Angel"	"Nov 26, 2013"
GSE48614	"Array_data_MEF_Kera_Coculture"	"Expression profiling by array"	"Homo sapiens;Mus musculus"	42				24335928		"Peter Angel"	"Nov 26, 2013"
GSE41352	"Integrated analysis of transcript level regulation of metabolism during human adipocyte differentiation [time course]"	"Expression profiling by array"	"Homo sapiens"	20		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41352/suppl"	24198249		"Merja Heinäniemi"	"Nov 19, 2013"
GSE41577	"Integrated analysis of transcript level regulation of metabolism during human adipocyte differentiation [T0901317]"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41577/suppl"	24198249		"Merja Heinäniemi"	"Nov 19, 2013"
GSE41578	"Integrated analysis of transcript level regulation of metabolism during human adipocyte differentiation"	"Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens"	55		"WIG"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41578/suppl"	24198249		"Merja Heinäniemi"	"Nov 19, 2013"
GSE52390	"Integrative DNA methylation and gene expression analysis in high-grade soft tissue sarcomas [gene expression]"	"Expression profiling by array"	"Homo sapiens"	94		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52390/suppl"	24345474;27535980		"Marcus Renner"	"Nov 16, 2013"
GSE52392	"Integrative DNA methylation and gene expression analysis in high-grade soft tissue sarcomas"	"Expression profiling by array;Methylation profiling by array"	"Homo sapiens"	190		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52392/suppl"	24345474;27535980		"Marcus Renner"	"Nov 16, 2013"
GSE31976	"regulatory T cells in human pregnancy"	"Expression profiling by array"	"Homo sapiens"	23		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31976/suppl"	23733877		"Grant Parnell"	"Nov 04, 2013"
GSE41980	"Mitocans target tryptophan metabolism to remove the mimicry of tumour-initiating cells"	"Expression profiling by array"	"Homo sapiens"	28		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41980/suppl"	24145120		"Michael Peter Stapelberg"	"Nov 01, 2013"
GSE46671	"A broad array of anticancer activities of the immunosuppressive drug mycophenolic acid (MPA) is suggested by pathway analyses of gene expression and validated by proteomic and functional assays"	"Expression profiling by array"	"Homo sapiens"	12	GDS5265	"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46671/suppl"	24260584		"Jin-Xiong She"	"Oct 28, 2013"
GSE51286	"Expression of ZAP70 in CLL activates NF-κB signalling"	"Expression profiling by array"	"Homo sapiens"	22		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51286/suppl"	24219331		"Valerie Pede"	"Oct 22, 2013"
GSE48158	"Identification of miRNA targets in breast cancer cells (Ago2-IP)"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48158/suppl"	23921383		"Meiyun Fan"	"Oct 21, 2013"
GSE48162	"Identification of miRNA targets in breast cancer cells"	"Expression profiling by array"	"Homo sapiens"	18				23921383		"Meiyun Fan"	"Oct 21, 2013"
GSE41924	"Global analysis of off-target genes by GAPDH siRNA"	"Expression profiling by array"	"Homo sapiens"	3		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41924/suppl"	24145823		"Xiaowei Wang"	"Oct 03, 2013"
GSE49658	"Human inositol polyphosphate multikinase regulates transcript-selective nuclear mRNA export to preserve genome integrity"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49658/suppl"	24074953		"Vihandha Wickramasinghe"	"Sep 27, 2013"
GSE50749	"Drug Synergy Screen and Network Modeling in Dedifferentiated Liposarcoma (DDLS) part 1"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50749/suppl"	24065146		"Martin L Miller"	"Sep 24, 2013"
GSE50751	"Drug Synergy Screen and Network Modeling in Dedifferentiated Liposarcoma (DDLS)"	"Expression profiling by array;Genome variation profiling by genome tiling array"	"Homo sapiens"	8		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50751/suppl"	24065146		"Martin L Miller"	"Sep 24, 2013"
GSE39079	"Foam cell specific LXRα ligand"	"Expression profiling by array"	"Homo sapiens"	29		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39079/suppl"	23451202		"Christopher Weidner"	"Sep 05, 2013"
GSE42026	"Transcriptomic profiling in childhood H1N1/09 influenza reveals reduced expression of protein synthesis genes"	"Expression profiling by array"	"Homo sapiens"	92		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42026/suppl"	23901082		"Jethro A Herberg"	"Sep 05, 2013"
GSE41790	"Expression profiling of human foreskin fibroblasts cultured in media supplemented with human sera"	"Expression profiling by array"	"Homo sapiens"	25		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41790/suppl"	23912304		"Danilo Licastro"	"Sep 04, 2013"
GSE46743	"Genetic Differences in the Immediate Transcriptome Response to Stress Predict Risk-Related Brain Function and Psychiatric Disorders"	"Expression profiling by array"	"Homo sapiens"	320		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46743/suppl"			"Janine Arloth"	"Sep 01, 2013"
GSE47803	"Co-regulated gene expression by estrogen receptor-α and liver receptor homolog-1 is a feature of the estrogen response in breast cancer cells"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47803/suppl"	24049078		"Simak Ali"	"Sep 01, 2013"
GSE36382	"Individual array-based gene expression patterns generated using total RNA prepared from whole blood of 991 participants of the SHIP-TREND cohort"	"Expression profiling by array"	"Homo sapiens"	991		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36382/suppl"	23652523;24013639		"Uwe Völker"	"Aug 29, 2013"
GSE48302	"SLIT3-ROBO4 Activation Promotes Vascular Network Formation in Human Engineered Tissue and Angiogenesis in Vivo"	"Expression profiling by array"	"Homo sapiens"	8		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48302/suppl"	24090675		"Kareen L Kreutziger"	"Aug 18, 2013"
GSE47575	"Regulation of Gene Expression by Connective Tissue Growth Factor (CTGF) in Mesenchymal Stromal Cells (MSCs)"	"Expression profiling by array"	"Homo sapiens"	2		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47575/suppl"	23741006		"Wencai Ma"	"Aug 05, 2013"
GSE38012	"Comparison of the long-term effects of calorie restriction without malnutrition on global gene expression profiles of rat and human skeletal muscle [Human]"	"Expression profiling by array"	"Homo sapiens"	25		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38012/suppl"	23601134		"Kevin G Becker"	"Aug 01, 2013"
GSE38063	"Comparison of the long-term effects of calorie restriction without malnutrition on global gene expression profiles of rat and human skeletal muscle"	"Expression profiling by array"	"Homo sapiens;Rattus norvegicus"	35				23601134		"Kevin G Becker"	"Aug 01, 2013"
GSE46132	"Genome-wide analysis of gene expression in bladder cancer cell lines 253JB-V and UM-UC13 exposed to bortezomib"	"Expression profiling by array"	"Homo sapiens"	8		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46132/suppl"			"wei Qi"	"Aug 01, 2013"
GSE42656	"Gene expression profiles for paediatric brain tumours"	"Expression profiling by array"	"Homo sapiens"	73		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42656/suppl"	23887970		"Denise Sheer"	"Jul 29, 2013"
GSE42658	"Expression profiles for paediatric brain tumours"	"Expression profiling by array;Non-coding RNA profiling by array"	"Homo sapiens"	137				23887970		"Denise Sheer"	"Jul 29, 2013"
GSE39316	"Nanotoxicogenomic study of ZnO and TiO2 responses (Illumina)"	"Expression profiling by array"	"Homo sapiens"	90		"TXT;XLS"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39316/suppl"	23894303		"Soile Tuomela"	"Jul 25, 2013"
GSE39444	"Nanotoxicogenomic study of ZnO and TiO2 responses"	"Expression profiling by array"	"Homo sapiens"	161		"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39444/suppl"	23894303		"Soile Tuomela"	"Jul 25, 2013"
